AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj3-l2.qa58	SWITCH_TABLE_EXPLAIN_Q1	2.0	because bulb a was still in a closed path with the battery
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj7-l2.qa58	SWITCH_TABLE_EXPLAIN_Q1	2.0	bulb a was still contained in a closed path with the battery.
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj8-l2.qa61	SWITCH_TABLE_EXPLAIN_Q1	1.0	because the path was closed
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj8-l2.qa62	SWITCH_TABLE_EXPLAIN_Q1	1.0	because it was contained in same path as the battery
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj8-l2.qa63	SWITCH_TABLE_EXPLAIN_Q1	2.0	because bulb a is contained within the same closed path as the battery
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj8-l2.qa64	SWITCH_TABLE_EXPLAIN_Q1	1.0	switch Y does not affect bulb a
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj9-l2.qa59	SWITCH_TABLE_EXPLAIN_Q1	2.0	bulb a was in a closed path with the battery.
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj10-l2.qa61	SWITCH_TABLE_EXPLAIN_Q1	0.0	becuase bulb a is on a closed circuit with the battery
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj10-l2.qa62	SWITCH_TABLE_EXPLAIN_Q1	2.0	because bulb a is on a closed path with the battery
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj11-l2.qa60	SWITCH_TABLE_EXPLAIN_Q1	2.0	because bulb a is in a closed path with the battery.
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj12-l2.qa63	SWITCH_TABLE_EXPLAIN_Q1	0.0	The circuit is complete with the battery and bulb a
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj13-l2.qa66	SWITCH_TABLE_EXPLAIN_Q1	1.0	they are contained in the same path.
SwitchesBulbsParallel-SWITCH_TABLE_EXPLAIN_Q1.sbj13-l2.qa67	SWITCH_TABLE_EXPLAIN_Q1	1.0	switch x is contained in the same path as bulb a.
