AnswerId	PromptId	Score1	AnswerText
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj3-l1.qa220	BURNED_BULB_LOCATE_EXPLAIN_Q	2.0	because if there is a difference in electrial states then there is a gap. That will located the burned out bulb
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj3-l1.qa221	BURNED_BULB_LOCATE_EXPLAIN_Q	1.0	"if there is a difference in electrial states there won""t be a complete connection"
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj7-l1.qa208	BURNED_BULB_LOCATE_EXPLAIN_Q	0.0	the voltage will change when you move from a terminal that is connected to the battery and one that is not
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj7-l1.qa209	BURNED_BULB_LOCATE_EXPLAIN_Q	0.0	i do not know
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj8-l1.qa258	BURNED_BULB_LOCATE_EXPLAIN_Q	1.0	electrical states will determine whether there is a gap or connection in the circuit
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj8-l1.qa259	BURNED_BULB_LOCATE_EXPLAIN_Q	0.0	k
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj9-l1.qa215	BURNED_BULB_LOCATE_EXPLAIN_Q	1.0	measuring voltage checks for connections and gaps. It measures the electrical states between two terminals.
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj9-l1.qa216	BURNED_BULB_LOCATE_EXPLAIN_Q	1.0	measuring voltage allows you to find gaps and connections by checking the electrical states between two terminals.
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj9-l1.qa217	BURNED_BULB_LOCATE_EXPLAIN_Q	1.0	it checks the electrical state between two terminals.
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj9-l1.qa218	BURNED_BULB_LOCATE_EXPLAIN_Q	2.0	you can measure voltage to see if there is a gap that the bulb caused.
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj10-l1.qa249	BURNED_BULB_LOCATE_EXPLAIN_Q	0.0	it allows you to measure electrical states between terminals
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj11-l1.qa236	BURNED_BULB_LOCATE_EXPLAIN_Q	2.0	because the voltage measures the difference in electrical states of two terminals, so it can determine where there is a gap, or wehre there is a connection.
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj11-l1.qa237	BURNED_BULB_LOCATE_EXPLAIN_Q	2.0	voltage is the difference in electrical states between two terminals, so a gap or a connection in a circuit can be determined by the voltage.
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj11-l1.qa238	BURNED_BULB_LOCATE_EXPLAIN_Q	0.0	the electrical state between two terminals is the voltage. a gap shows voltage, while a connection results in no voltage.
FaultFinding-BURNED_BULB_LOCATE_EXPLAIN_Q.sbj11-l1.qa239	BURNED_BULB_LOCATE_EXPLAIN_Q	2.0	a bulb connects the terminals, so there will be a difference in electrical state if there is a fault.
