AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj3-l2.qa43	PARALLEL_SWITCH_EXPLAIN_Q1	1.0	there was a closed path not effected by the switch
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj3-l2.qa44	PARALLEL_SWITCH_EXPLAIN_Q1	2.0	it has a closed path with the battery
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj7-l2.qa42	PARALLEL_SWITCH_EXPLAIN_Q1	1.0	because it still was on a closed path
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj7-l2.qa43	PARALLEL_SWITCH_EXPLAIN_Q1	2.0	Bulb A is contained in a closed path and not affected by  switch Y.
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj8-l2.qa43	PARALLEL_SWITCH_EXPLAIN_Q1	0.0	the circuit was complete
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj8-l2.qa44	PARALLEL_SWITCH_EXPLAIN_Q1	1.0	the path is closed
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj9-l2.qa44	PARALLEL_SWITCH_EXPLAIN_Q1	1.0	bulb a was on because z was closed.
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj9-l2.qa45	PARALLEL_SWITCH_EXPLAIN_Q1	2.0	bulb a was in a closed path with the battery.
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj10-l2.qa44	PARALLEL_SWITCH_EXPLAIN_Q1	0.0	because bulb a was in a closed circuit with the battery
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj10-l2.qa45	PARALLEL_SWITCH_EXPLAIN_Q1	2.0	because bulb a was in a closed path with the battery
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj11-l2.qa46	PARALLEL_SWITCH_EXPLAIN_Q1	2.0	bulb a is contained in a closed path with the battery.
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj12-l2.qa48	PARALLEL_SWITCH_EXPLAIN_Q1	2.0	The battery is conatained in a closed path with bulb a
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj13-l2.qa47	PARALLEL_SWITCH_EXPLAIN_Q1	1.0	there was no gap in the path.
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj13-l2.qa48	PARALLEL_SWITCH_EXPLAIN_Q1	0.0	bulb a come before switch y
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj13-l2.qa49	PARALLEL_SWITCH_EXPLAIN_Q1	2.0	switch y is on a different path than bulb a.
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj14-l2.qa43	PARALLEL_SWITCH_EXPLAIN_Q1	1.0	Because it was still connected to the battery terminal.
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj15-l2.qa48	PARALLEL_SWITCH_EXPLAIN_Q1	0.0	because there was a gap in the circuit
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj15-l2.qa49	PARALLEL_SWITCH_EXPLAIN_Q1	0.0	there was a gap in the terminal
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj15-l2.qa50	PARALLEL_SWITCH_EXPLAIN_Q1	0.0	there was a gap in the connection between the batteruy and the terminal
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj15-l2.qa51	PARALLEL_SWITCH_EXPLAIN_Q1	0.0	the bettery is contained in the terminal
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj18-l2.qa43	PARALLEL_SWITCH_EXPLAIN_Q1	0.0	Bulb A was in a closed circuit.
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj18-l2.qa44	PARALLEL_SWITCH_EXPLAIN_Q1	1.0	Bulb a was in a complete circuit
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj18-l2.qa45	PARALLEL_SWITCH_EXPLAIN_Q1	2.0	Bulb a was in a closed path with a battery.
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj19-l2.qa54	PARALLEL_SWITCH_EXPLAIN_Q1	1.0	because the path was closed
SwitchesBulbsParallel-PARALLEL_SWITCH_EXPLAIN_Q1.sbj19-l2.qa56	PARALLEL_SWITCH_EXPLAIN_Q1	1.0	the path was closed and connected to the battery
