AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj3-l2.qa96	HYBRID_BURNED_OUT_EXPLAIN_Q1	2.0	bulb b and c will not be in a closed path with the battery
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj7-l2.qa99	HYBRID_BURNED_OUT_EXPLAIN_Q1	2.0	there is no closed path that contains the battery, bulb b, and bulb c
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj8-l2.qa105	HYBRID_BURNED_OUT_EXPLAIN_Q1	1.0	creates a gap
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj8-l2.qa106	HYBRID_BURNED_OUT_EXPLAIN_Q1	0.0	they are all in the same path
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj9-l2.qa101	HYBRID_BURNED_OUT_EXPLAIN_Q1	2.0	bulbs b and c will no longer be in closed paths with the battery.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj10-l2.qa104	HYBRID_BURNED_OUT_EXPLAIN_Q1	1.0	damaged bulb a creates a gap
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj11-l2.qa100	HYBRID_BURNED_OUT_EXPLAIN_Q1	2.0	bulb a creates a gap in teh circuit.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj11-l2.qa101	HYBRID_BURNED_OUT_EXPLAIN_Q1	1.0	the bulb creates a gap in the closed path
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj11-l2.qa102	HYBRID_BURNED_OUT_EXPLAIN_Q1	2.0	bulb a creates a gap in teh path.
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj12-l2.qa105	HYBRID_BURNED_OUT_EXPLAIN_Q1	1.0	There will be a gap in the path
SwitchesBulbsParallel-HYBRID_BURNED_OUT_EXPLAIN_Q1.sbj12-l2.qa106	HYBRID_BURNED_OUT_EXPLAIN_Q1	0.0	seperates the voltage
