AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj3-l2.qa93	BURNED_BULB_PARALLEL_WHY_Q	2.0	because bulb a and c were still contained within a closed path with the battery
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj7-l2.qa96	BURNED_BULB_PARALLEL_WHY_Q	2.0	there is still a closed path that contains the battery, bulb a, and bulb c
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj8-l2.qa102	BURNED_BULB_PARALLEL_WHY_Q	2.0	because they are within different paths
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj9-l2.qa96	BURNED_BULB_PARALLEL_WHY_Q	2.0	because bulb a had a seperate closed path from b. bulb c had a seperate closed path from bulb b.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj9-l2.qa97	BURNED_BULB_PARALLEL_WHY_Q	2.0	because bulb a is in a closed path, and bulb c is in a closed path.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj10-l2.qa101	BURNED_BULB_PARALLEL_WHY_Q	2.0	because bulbs a and c are on a closed path with the battery
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj11-l2.qa96	BURNED_BULB_PARALLEL_WHY_Q	0.0	because bulb b did not create a gaop.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj11-l2.qa97	BURNED_BULB_PARALLEL_WHY_Q	2.0	because bulb a and c were still in a closed path with the battery.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj12-l2.qa102	BURNED_BULB_PARALLEL_WHY_Q	2.0	Bulbs A and C were still on closed paths with the battery
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj13-l2.qa107	BURNED_BULB_PARALLEL_WHY_Q	2.0	bulbs a and c are not in the same path of bulb b
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj14-l2.qa102	BURNED_BULB_PARALLEL_WHY_Q	2.0	Because they were contained in closed paths.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj15-l2.qa118	BURNED_BULB_PARALLEL_WHY_Q	0.0	because the paths were still in a closed circuit with the battery terminal
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj18-l2.qa95	BURNED_BULB_PARALLEL_WHY_Q	2.0	Bulbs a and c are in separate paths.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj19-l2.qa120	BURNED_BULB_PARALLEL_WHY_Q	2.0	because bulb A and C are in a closed path
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj22-l2.qa100	BURNED_BULB_PARALLEL_WHY_Q	2.0	each bulb contains its own closed path
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj22-l2.qa101	BURNED_BULB_PARALLEL_WHY_Q	2.0	there are 3 separate closed pat for the 3 bulbs
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj23-l2.qa100	BURNED_BULB_PARALLEL_WHY_Q	2.0	Bulb A and C are still in a closed path with the battery.
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj24-l2.qa96	BURNED_BULB_PARALLEL_WHY_Q	1.0	They are in independent paths
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj24-l2.qa97	BURNED_BULB_PARALLEL_WHY_Q	1.0	still a closed path to the other bulbs
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj24-l2.qa98	BURNED_BULB_PARALLEL_WHY_Q	1.0	the path is closed
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj26-l2.qa104	BURNED_BULB_PARALLEL_WHY_Q	2.0	because the bulbs are on seperate paths
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj26-l2.qa105	BURNED_BULB_PARALLEL_WHY_Q	0.0	bulbs a and c are seperate from bulb a
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj26-l2.qa106	BURNED_BULB_PARALLEL_WHY_Q	0.0	exactly
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj27-l2.qa102	BURNED_BULB_PARALLEL_WHY_Q	2.0	they each have their own closed paths
SwitchesBulbsParallel-BURNED_BULB_PARALLEL_WHY_Q.sbj27-l2.qa103	BURNED_BULB_PARALLEL_WHY_Q	2.0	bulbs a and c have their own closed paths
