AnswerId	PromptId	Score1	AnswerText
EM.21a.137.1	EM_21a	1.0	She can do a scratch test and see which one is harder.
EM.21a.139.1	EM_21a	2.0	Scratch one against the other.
EM.21a.185.1	EM_21a	1.0	Rub them together.
EM.21a.277.1	EM_21a	1.0	By scratching them.
EM.21a.278.1	EM_21a	1.0	Rubbing them together.
EM.21a.279.1	EM_21a	2.0	Scratch them together.
EM.21a.280.1	EM_21a	2.0	Scratch them against each other.
EM.21a.284.1	EM_21a	0.0	Use her fingernail.
EM.21a.311.1	EM_21a	1.0	A rock scratch.
EM.21a.314.1	EM_21a	1.0	Use your fingernail.
EM.21a.391.1	EM_21a	2.0	Scratch the 2 together.
EM.21a.397.1	EM_21a	2.0	Scratch one against the other.
EM.21a.405.1	EM_21a	0.0	She can use her nail and penny.
EM.21a.408.1	EM_21a	2.0	Scratch them together.
EM.21a.435.1	EM_21a	1.0	Georgia could rub them together.
EM.21a.436.1	EM_21a	2.0	Scratch them together.
EM.21a.459.1	EM_21a	2.0	Scratch the minerals together.
EM.21a.471.1	EM_21a	1.0	From scratching with another minerals.
EM.21a.508.1	EM_21a	2.0	She can scratch them together and the one with the mark is the soft one.
EM.21a.510.1	EM_21a	2.0	She can scratch it together and look and see which leave a scratch.
EM.21a.525.1	EM_21a	1.0	She could rub them together.
EM.21a.529.1	EM_21a	2.0	Georgia could rub them together.
EM.21a.547.1	EM_21a	1.0	She could rub them together.
EM.21a.565.1	EM_21a	2.0	Scratch the 2 rocks together.
EM.21a.570.1	EM_21a	1.0	By rubbing them together and touching them.
EM.21a.571.1	EM_21a	0.0	With her nail.
EM.21a.572.1	EM_21a	2.0	Rub them together.
EM.21a.575.1	EM_21a	1.0	Rub them together.
EM.21a.576.1	EM_21a	1.0	Rubbing them together.
EM.21a.594.1	EM_21a	2.0	She can rub them together and switch, if there is a mark on it and it goes away, it is hard.
EM.21a.627.1	EM_21a	2.0	Rub them together to see if scratch the other.
EM.21a.632.1	EM_21a	1.0	Rub them together.
EM.21a.633.1	EM_21a	2.0	Rub them together, see which will scratch the other.
EM.21a.636.1	EM_21a	2.0	Rub them together and see if you can scratch it harder.
EM.21a.638.1	EM_21a	2.0	Rub them together and see if one scratches the other.
EM.21a.646.1	EM_21a	2.0	Rub them to see if one scratches the other.
EM.21a.403.1	EM_21a	1.0	She can rub them against each other.
EM.21a.557.1	EM_21a	1.0	Rubbing them together.
EM.21a.593.1	EM_21a	2.0	Rub one of the minerals against the other one and see if it has a mark or a scratch.
EM.21a.637.1	EM_21a	2.0	Rub them together and see if one scratches the other!
