AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj3-l2.qa72	OPT1_EXPLAIN_Q2	2.0	because there is an alternate path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj3-l2.qa73	OPT1_EXPLAIN_Q2	2.0	there is still a closed path between bulb a and the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj3-l2.qa74	OPT1_EXPLAIN_Q2	2.0	there is a closed path, with switch z,  that contains bulb a and the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj7-l2.qa74	OPT1_EXPLAIN_Q2	2.0	bulb a is in a closed path without switch y
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj7-l2.qa75	OPT1_EXPLAIN_Q2	2.0	there is a closed path that contains bulb a and does not contain switch y
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj7-l2.qa76	OPT1_EXPLAIN_Q2	1.0	there is a closed path that contains bulb and a battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj8-l2.qa78	OPT1_EXPLAIN_Q2	1.0	because bulb a is not in the path of switch y
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj9-l2.qa73	OPT1_EXPLAIN_Q2	1.0	because x and z could be closed and it will work.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj9-l2.qa74	OPT1_EXPLAIN_Q2	1.0	because x and z could be closed and bulb a will work.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj9-l2.qa75	OPT1_EXPLAIN_Q2	0.0	bulb a will light when it is in a closed path with the battery.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj10-l2.qa77	OPT1_EXPLAIN_Q2	2.0	bulb a is on a closed path with the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj10-l2.qa80	OPT1_EXPLAIN_Q2	0.0	switch y is contained within a closed path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj11-l2.qa75	OPT1_EXPLAIN_Q2	2.0	because bulb a is in a closed path with the battery.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj11-l2.qa77	OPT1_EXPLAIN_Q2	2.0	because switch y is not conatined in the closed path of bulb a and the battery.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj12-l2.qa81	OPT1_EXPLAIN_Q2	1.0	Bulb a can be lit with a closed path when switch z is closed
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj12-l2.qa82	OPT1_EXPLAIN_Q2	2.0	bulb a is still in a closed path with the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj13-l2.qa83	OPT1_EXPLAIN_Q2	0.0	because switch x is open.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj13-l2.qa84	OPT1_EXPLAIN_Q2	1.0	it is not in the same path.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj13-l2.qa85	OPT1_EXPLAIN_Q2	2.0	switch y is not in the same path as bulb a.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj13-l2.qa86	OPT1_EXPLAIN_Q2	2.0	switch y is not in the same path of bulb a.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj14-l2.qa77	OPT1_EXPLAIN_Q2	1.0	Because it is not in the same path.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj15-l2.qa86	OPT1_EXPLAIN_Q2	0.0	"i dotn knwo""r[foldf;hoglbkrd"
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj15-l2.qa87	OPT1_EXPLAIN_Q2	0.0	i dont know
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj15-l2.qa88	OPT1_EXPLAIN_Q2	0.0	th ebatter
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj15-l2.qa89	OPT1_EXPLAIN_Q2	0.0	switch z is contained in the same terminal as the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj18-l2.qa74	OPT1_EXPLAIN_Q2	2.0	Bulb a is in a closed path with a battery.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj18-l2.qa75	OPT1_EXPLAIN_Q2	2.0	If switch x and switch z are closed, bulb A is in a closed path with the battery.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj19-l2.qa96	OPT1_EXPLAIN_Q2	1.0	its a closed path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj19-l2.qa97	OPT1_EXPLAIN_Q2	2.0	its contained in a closed path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj19-l2.qa98	OPT1_EXPLAIN_Q2	1.0	switch z is contained in a closed path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj22-l2.qa79	OPT1_EXPLAIN_Q2	1.0	it is in a closed path with the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj22-l2.qa80	OPT1_EXPLAIN_Q2	0.0	l
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj23-l2.qa81	OPT1_EXPLAIN_Q2	2.0	Bulb A is in a different path than switch Y.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj24-l2.qa75	OPT1_EXPLAIN_Q2	1.0	there is another path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj24-l2.qa76	OPT1_EXPLAIN_Q2	2.0	Switch Y and bulb A do not have to be in same path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj26-l2.qa78	OPT1_EXPLAIN_Q2	2.0	because it is not in the closed path with bulb a
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj27-l2.qa79	OPT1_EXPLAIN_Q2	1.0	because it has another closed path it can use
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj27-l2.qa80	OPT1_EXPLAIN_Q2	1.0	there is an alternate closed path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj27-l2.qa81	OPT1_EXPLAIN_Q2	1.0	switch z contains a closed path with the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj28-l2.qa77	OPT1_EXPLAIN_Q2	2.0	bulb a is in a closed path with a battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj28-l2.qa78	OPT1_EXPLAIN_Q2	1.0	complete circuit
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj28-l2.qa79	OPT1_EXPLAIN_Q2	1.0	battery, switch, bulb
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj28-l2.qa80	OPT1_EXPLAIN_Q2	2.0	bulb a and c are contained in a closed path with the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj29-l2.qa80	OPT1_EXPLAIN_Q2	2.0	bulb a is in a closed path with the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj29-l2.qa82	OPT1_EXPLAIN_Q2	2.0	switch z is contained in a closed path with bulb a and the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj30-l2.qa84	OPT1_EXPLAIN_Q2	1.0	it can take a different path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj30-l2.qa85	OPT1_EXPLAIN_Q2	0.0	The circuit is closed
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj30-l2.qa86	OPT1_EXPLAIN_Q2	2.0	It still contains the battery and is on a closed path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj31-l2.qa84	OPT1_EXPLAIN_Q2	2.0	because bulb A is in a closed path with the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj31-l2.qa87	OPT1_EXPLAIN_Q2	1.0	switch z is contained on a closed path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj33-l2.qa84	OPT1_EXPLAIN_Q2	0.0	tell answer
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj34-l2.qa83	OPT1_EXPLAIN_Q2	1.0	Switch Z can be closed instead
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj34-l2.qa84	OPT1_EXPLAIN_Q2	1.0	There is another path through Switch Z
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj34-l2.qa85	OPT1_EXPLAIN_Q2	2.0	Bulb A and C are contained in a closed path with the  battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj35-l2.qa82	OPT1_EXPLAIN_Q2	0.0	Because it is not in the same path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj35-l2.qa83	OPT1_EXPLAIN_Q2	0.0	it is not in the same path as the bulb and battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj35-l2.qa84	OPT1_EXPLAIN_Q2	0.0	it is not in the same path with the bulb and battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj36-l2.qa74	OPT1_EXPLAIN_Q2	1.0	switch z could be closed
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj36-l2.qa76	OPT1_EXPLAIN_Q2	1.0	switch z is contained in a closed path to the battery
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj37-l2.qa76	OPT1_EXPLAIN_Q2	2.0	because bulb a can still be in a closed path with the battery if switch z is closed and switch x is closed
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj38-l2.qa73	OPT1_EXPLAIN_Q2	2.0	if switch z is closed it can make a closed path that contains bulb a and the battery.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj39-l2.qa91	OPT1_EXPLAIN_Q2	1.0	They are on different series
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj39-l2.qa92	OPT1_EXPLAIN_Q2	2.0	Bulb A is on a different path than switch Y
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj40-l2.qa86	OPT1_EXPLAIN_Q2	2.0	bulb a is in a closed path with the battery without passing through switch y.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj40-l2.qa87	OPT1_EXPLAIN_Q2	0.0	bulb a is in a closed circuit with the battery without the y switch.
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj40-l2.qa88	OPT1_EXPLAIN_Q2	0.0	i give up
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj42-l2.qa79	OPT1_EXPLAIN_Q2	1.0	There is still a closed path
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj42-l2.qa80	OPT1_EXPLAIN_Q2	1.0	Y is not needed for bulb a to light
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj42-l2.qa81	OPT1_EXPLAIN_Q2	2.0	there is a closed path with the battery and bulb a
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj43-l2.qa74	OPT1_EXPLAIN_Q2	0.0	beacuse there is a complete path without switch y
SwitchesBulbsParallel-OPT1_EXPLAIN_Q2.sbj43-l2.qa75	OPT1_EXPLAIN_Q2	2.0	beacuse there is a complete circut without y being involved
