AnswerId	PromptId	Score1	AnswerText
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj3-l1.qa209	BULB_ONLY_EXPLAIN_WHY2	2.0	terminal 1 is connected to terminal 2
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj7-l1.qa200	BULB_ONLY_EXPLAIN_WHY2	2.0	they are connected
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj8-l1.qa244	BULB_ONLY_EXPLAIN_WHY2	1.0	Because terminal 1 and 2 are connected to the negative battery terminal
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj8-l1.qa245	BULB_ONLY_EXPLAIN_WHY2	0.0	terminal 1 and 2 have the same difference in electrical states
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj9-l1.qa203	BULB_ONLY_EXPLAIN_WHY2	1.0	the voltage was 0 because they were on the same negative battery terminal.
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj9-l1.qa204	BULB_ONLY_EXPLAIN_WHY2	1.0	terminal 1 and 2 have the same voltage because there is a working bulb connected to the negative battery terminal.
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj10-l1.qa229	BULB_ONLY_EXPLAIN_WHY2	0.0	there is a gap between terminal one and two
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj10-l1.qa231	BULB_ONLY_EXPLAIN_WHY2	0.0	there is a gap between terminal one and two and the positive battery terminal
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj10-l1.qa232	BULB_ONLY_EXPLAIN_WHY2	0.0	the terminals are seperated from the positive terminal
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj12-l1.qa198	BULB_ONLY_EXPLAIN_WHY2	2.0	The terminal 1 is connected to terminal 2
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj13-l1.qa238	BULB_ONLY_EXPLAIN_WHY2	0.0	there was a gap between the positive battery terminal and terminal 1.
FaultFinding-BULB_ONLY_EXPLAIN_WHY2.sbj13-l1.qa239	BULB_ONLY_EXPLAIN_WHY2	0.0	there was a gap between the positive battery terminal and terminal 2.
