AnswerId	PromptId	Score1	AnswerText
EM.45c.103.1	EM_45c	0.0	We used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.
EM.45c.108.1	EM_45c	0.0	You take a look through the magnifying glass.
EM.45c.123.1	EM_45c	0.0	Because of the paper we looked at.
EM.45c.259.1	EM_45c	0.0	We looked at a piece of paper and one of the pictures looked like the crystals.
EM.45c.260.1	EM_45c	0.0	They will not shine.
EM.45c.386.1	EM_45c	2.0	They were square like salt.
EM.45c.393.1	EM_45c	0.0	We knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.
EM.45c.395.1	EM_45c	0.0	It said so on a paper.
EM.45c.400.1	EM_45c	0.0	Because it was at it because we had a chart that could tell us that.
EM.45c.402.1	EM_45c	0.0	They looked like salt.
EM.45c.417.1	EM_45c	2.0	We got a sheet with different kinds of crystals. So I looked for the same picture like the crystal and it said Kosher salt.
EM.45c.436.1	EM_45c	0.0	The teacher told us.
EM.45c.440.1	EM_45c	0.0	Because salt is made up of little crystals.
EM.45c.441.1	EM_45c	0.0	Because salt look like little pieces of a crystal.
EM.45c.443.1	EM_45c	2.0	I knew because they were shaped like kosher salt.
EM.45c.456.1	EM_45c	0.0	I knew the crystals were salt by the movie we watched.
EM.45c.458.1	EM_45c	0.0	Because flour does not turn into crystals.
EM.45c.477.1	EM_45c	0.0	Because salt is a crystal.
EM.45c.490.1	EM_45c	1.0	Because it has a X in the middle, and salt was in it.
EM.45c.491.1	EM_45c	0.0	The crystals are kosher salt and kosher salt is salt!
EM.45c.494.1	EM_45c	0.0	By looking at the crystal identification sheet.
EM.45c.498.1	EM_45c	0.0	Because we measured them.
EM.45c.532.1	EM_45c	0.0	Because it was so shiny.
EM.45c.534.1	EM_45c	0.0	They were powdery.
EM.45c.536.1	EM_45c	0.0	Because there were little shining things inside and I knew it was salt.
EM.45c.537.1	EM_45c	0.0	Because we learned it because it was white that is how we knew.
EM.45c.540.1	EM_45c	0.0	I would know that the crystals were salt is the way how it looks.
EM.45c.562.1	EM_45c	0.0	We poured the water we left it alone for 2 days and they dry up.
EM.45c.564.1	EM_45c	0.0	After the water dried we noticed it was Kosher salt.
EM.45c.569.1	EM_45c	0.0	By breaking the rock.
EM.45c.591.1	EM_45c	0.0	Because it tastes like salt.
EM.45c.592.1	EM_45c	0.0	Because crystals are a kind of salt.
EM.45c.606.1	EM_45c	2.0	I looked at them really closely and they looked like crystals and diamonds.
EM.45c.611.1	EM_45c	0.0	Because we looked in the magnifying glass.
EM.45c.614.1	EM_45c	2.0	I knew the crystals were salt because of the patterns and shapes.
EM.45c.647.1	EM_45c	0.0	I looked at the chart.
EM.45c.340.1	EM_45c	0.0	Well because we broke them apart.
EM.45c.385.1	EM_45c	0.0	By looking very closely at it.
EM.45c.396.1	EM_45c	0.0	We know the crystals were salt because we identified them.
EM.45c.645.1	EM_45c	0.0	Because I look at the chart.
