AnswerId	PromptId	Score1	AnswerText
II.38.101.1	II_38	1.0	You see people upside down and kite, cart, cow, buoyant.
II.38.113.1	II_38	0.0	A heart.
II.38.114.1	II_38	1.0	I see a lot of things that might look like paper it hit the mirror and it soon on the mirror.
II.38.140.1	II_38	1.0	You will see the line of symmetry.
II.38.144.1	II_38	0.0	You would see the same part of it.
II.38.146.1	II_38	1.0	You would see the object.
II.38.206.1	II_38	2.0	You would see the other side but it would be in the mirror.
II.38.212.1	II_38	1.0	I would see the figure then I would see the line of symmetry.
II.38.224.1	II_38	2.0	You would see the whole shape.
II.38.225.1	II_38	1.0	If you looked in a mirror you would see your image.
II.38.347.1	II_38	1.0	I will see a bunch of lines.
II.38.354.1	II_38	1.0	Something on the flat object.
II.38.357.1	II_38	2.0	The complete object.
II.38.358.1	II_38	1.0	You would see a flat object.
II.38.360.1	II_38	0.0	It could be up and side.
II.38.417.1	II_38	2.0	It make the object seem whole.
II.38.425.1	II_38	1.0	You could see the roof and on top of you.
II.38.427.1	II_38	0.0	You have to put mirrors around it.
II.38.434.1	II_38	1.0	It will see like a pattern or you can see more and more.
II.38.437.1	II_38	2.0	The other and the same side of the object.
II.38.444.1	II_38	0.0	I would it going further and further.
II.38.451.1	II_38	1.0	You would see another object in that object or other shapes.
II.38.457.1	II_38	2.0	The other part of that shape of the flat figure.
II.38.458.1	II_38	2.0	The other half of the object, because the mirror would see that object and make another one.
II.38.467.1	II_38	1.0	The opposite of the side you are looking at.
II.38.470.1	II_38	1.0	You would see what it is reflecting.
II.38.474.1	II_38	1.0	The reflection of the object.
II.38.521.1	II_38	1.0	You would see the opposite face of the shape.
II.38.523.1	II_38	1.0	You will see light or another one of it or reflex.
II.38.528.1	II_38	2.0	You would see the same object.
II.38.534.1	II_38	1.0	The opposite thing that was on the paper.
II.38.535.1	II_38	1.0	The same object.
II.38.539.1	II_38	0.0	By looking with a mirror or something else.
II.38.540.1	II_38	2.0	I would show the same thing so it would look like one whole piece.
II.38.556.1	II_38	1.0	You would see the ceiling when it is on a table.
II.38.560.1	II_38	1.0	You would see the object. But the object looks like it was flipped.
II.38.103.1	II_38	0.0	Is flat but when you write your letters backwards.
II.38.151.1	II_38	2.0	You would see the whole shape.
II.38.473.1	II_38	0.0	Half of the flat object.
II.38.485.1	II_38	0.0	What the mirror is reflecting on the flat object.
