AnswerId	PromptId	Score1	AnswerText
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj3-l1.qa170	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	Terminal 6 is connected to the positive battery terminal
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj8-l1.qa194	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	terminal 6 is connected to a positive battery terminal
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj9-l1.qa164	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	the positive battery terminal is connected to terminal 6.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj11-l1.qa191	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	terminal 6 is connected to the positive battery terminal.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj12-l1.qa159	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	The positive battery terminal is connected to terminal 6
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj18-l1.qa162	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	Terminal 6 is only connected to the positive battery terminal.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj22-l1.qa186	VOLTAGE_GAP_EXPLAIN_WHY6	1.0	a terminal is connected to the positive terminal of the battery
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj23-l1.qa161	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	The positive batery terminal is connected to terminal 6.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj24-l1.qa186	VOLTAGE_GAP_EXPLAIN_WHY6	0.0	you guys would get more honest feedback and answers if you didnt make this so boring and repeatdly ask the same questions. its not like your testing elementary school kids
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj24-l1.qa187	VOLTAGE_GAP_EXPLAIN_WHY6	0.0	I get a voltage reading of 0 for terminal 6 and the postive terminal because their is not current flowing, no electricity, the path is open. the negative terminal of batter is not connected meaning the bulb will not light because there is 0 voltage
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj24-l1.qa188	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	the terminal is not connected to negative end of battery
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj24-l1.qa189	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	terminal 6 is connected to postive end of battery and the voltage meter
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj24-l1.qa190	VOLTAGE_GAP_EXPLAIN_WHY6	0.0	thats what i said, for a computer your a dumb***
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj26-l1.qa196	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	the positive terminal is not seperated by a gap from terminal 6
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj31-l1.qa176	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	terminal 6 is connected to the positive terminal of the battery
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj35-l1.qa177	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	There was no gap between terminal 6 and the positive terminal.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj38-l1.qa161	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	the positive terminal is connected to terminal 6
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj40-l1.qa189	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	terminal 6 and the  positive terminal are connected.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj43-l1.qa174	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	the positive battery terminal and terminal 6 are connected
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj46-l1.qa184	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	terminal 6 is connected to positive battery terminal
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbj47-l1.qa193	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	terminal 6 is connected to the positive terminal
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb2-l1.qa151	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	Terminal 6 is connected to the posititve battery terminal.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb3-l1.qa161	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	Terminal 6 is connected to the positve battery terminal
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb10-l1.qa140	VOLTAGE_GAP_EXPLAIN_WHY6	0.0	for the same reason as 3
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb15-l1.qa142	VOLTAGE_GAP_EXPLAIN_WHY6	1.0	no gap; connected
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb18-l1.qa152	VOLTAGE_GAP_EXPLAIN_WHY6	0.0	i dont know
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb21-l1.qa140	VOLTAGE_GAP_EXPLAIN_WHY6	0.0	gap in 6
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb24-l1.qa148	VOLTAGE_GAP_EXPLAIN_WHY6	0.0	no clue
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb25-l1.qa145	VOLTAGE_GAP_EXPLAIN_WHY6	0.0	It was on the wrong side.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb28-l1.qa145	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	terminal 6 and the positive terminal are connected
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb32-l1.qa144	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	Terminal 6 is connected to the positive terminal.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb38-l1.qa141	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	Terminal 6 was only connected to the positive terminal.
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb4-l1.qa141	VOLTAGE_GAP_EXPLAIN_WHY6	0.0	same answer as for terminal 4
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb6-l1.qa143	VOLTAGE_GAP_EXPLAIN_WHY6	2.0	Terminal 6 is connected to the postive battery terminal
FaultFinding-VOLTAGE_GAP_EXPLAIN_WHY6.sbjb34-l1.qa140	VOLTAGE_GAP_EXPLAIN_WHY6	1.0	Terminal 6 and the positive battery terminal are in the same state.
