AnswerId	PromptId	Score1	AnswerText
FaultFinding-VOLTAGE_DEFINE_Q.sbj3-l1.qa213	VOLTAGE_DEFINE_Q	1.0	is the difference between two terminals
FaultFinding-VOLTAGE_DEFINE_Q.sbj3-l1.qa214	VOLTAGE_DEFINE_Q	1.0	is the difference between terminals
FaultFinding-VOLTAGE_DEFINE_Q.sbj3-l1.qa215	VOLTAGE_DEFINE_Q	1.0	the is a difference in the terminals
FaultFinding-VOLTAGE_DEFINE_Q.sbj3-l1.qa216	VOLTAGE_DEFINE_Q	2.0	is the difference in electrial stat between terminals
FaultFinding-VOLTAGE_DEFINE_Q.sbj7-l1.qa204	VOLTAGE_DEFINE_Q	2.0	the difference in electrical states between two terminals
FaultFinding-VOLTAGE_DEFINE_Q.sbj8-l1.qa250	VOLTAGE_DEFINE_Q	2.0	the difference in the electrical states of the positive and negative terminals of a battery
FaultFinding-VOLTAGE_DEFINE_Q.sbj8-l1.qa251	VOLTAGE_DEFINE_Q	2.0	the measurement between the electrical states of the positive and negative terminals of a battery
FaultFinding-VOLTAGE_DEFINE_Q.sbj8-l1.qa252	VOLTAGE_DEFINE_Q	1.0	"electricity difference between the battey""s positive and negative terminals"
FaultFinding-VOLTAGE_DEFINE_Q.sbj9-l1.qa208	VOLTAGE_DEFINE_Q	0.0	a measurement of current and flowing the a source.
FaultFinding-VOLTAGE_DEFINE_Q.sbj9-l1.qa209	VOLTAGE_DEFINE_Q	0.0	a measurement of current flowing through a source.
FaultFinding-VOLTAGE_DEFINE_Q.sbj9-l1.qa210	VOLTAGE_DEFINE_Q	1.0	a difference between the electrical states.
FaultFinding-VOLTAGE_DEFINE_Q.sbj10-l1.qa238	VOLTAGE_DEFINE_Q	1.0	the difference between the positive and negative terminals of a battery
FaultFinding-VOLTAGE_DEFINE_Q.sbj10-l1.qa240	VOLTAGE_DEFINE_Q	1.0	the difference of electrical states in a battery
FaultFinding-VOLTAGE_DEFINE_Q.sbj10-l1.qa241	VOLTAGE_DEFINE_Q	1.0	the difference in electricity between terminals
FaultFinding-VOLTAGE_DEFINE_Q.sbj11-l1.qa231	VOLTAGE_DEFINE_Q	2.0	teh difference of electrical states between two terminals
FaultFinding-VOLTAGE_DEFINE_Q.sbj12-l1.qa203	VOLTAGE_DEFINE_Q	1.0	The difference between two terminals
FaultFinding-VOLTAGE_DEFINE_Q.sbj12-l1.qa205	VOLTAGE_DEFINE_Q	1.0	Two terminals that have different electrical states
FaultFinding-VOLTAGE_DEFINE_Q.sbj13-l1.qa244	VOLTAGE_DEFINE_Q	1.0	a measurement of electricity
