AnswerId	PromptId	Score1	AnswerText
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj3-l1.qa143	OTHER_TERMINAL_STATE_EXPLAIN_Q	0.0	becuase the other terminals are connected to the positive battery terminal
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj7-l1.qa138	OTHER_TERMINAL_STATE_EXPLAIN_Q	2.0	terminal 4, terminal 5, and terminal 6 are connected to the positive battery terminal
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj8-l1.qa163	OTHER_TERMINAL_STATE_EXPLAIN_Q	2.0	because they are connected to the positive terminal
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj9-l1.qa135	OTHER_TERMINAL_STATE_EXPLAIN_Q	2.0	They are connected to the positive battery terminal.
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj10-l1.qa159	OTHER_TERMINAL_STATE_EXPLAIN_Q	2.0	because they are connected to the positive battery terminal
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj11-l1.qa166	OTHER_TERMINAL_STATE_EXPLAIN_Q	2.0	because those terminals are connected to the positive terminal of the battery.
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj13-l1.qa158	OTHER_TERMINAL_STATE_EXPLAIN_Q	1.0	because of the gap in bulb b.
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj13-l1.qa159	OTHER_TERMINAL_STATE_EXPLAIN_Q	1.0	because of the gap in the circuit.
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj13-l1.qa160	OTHER_TERMINAL_STATE_EXPLAIN_Q	2.0	the negative battery terminal is connected to bulb terminal 1,2 and 3 only.
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj13-l1.qa161	OTHER_TERMINAL_STATE_EXPLAIN_Q	2.0	terminal 4. terminal 5 and terminal 6 are not connected to the negative battery terminal.
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj15-l1.qa173	OTHER_TERMINAL_STATE_EXPLAIN_Q	0.0	because they are in a closed path
FaultFinding-OTHER_TERMINAL_STATE_EXPLAIN_Q.sbj15-l1.qa174	OTHER_TERMINAL_STATE_EXPLAIN_Q	0.0	because they are connected to the negative battery terminal
