AnswerId	PromptId	Score1	AnswerText
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj3-l2.qa118	OPT2_EXPLAIN_Q	2.0	there is one path though bulb a and a second path through bulb b and c. The two paths are independent from one another. If one bulb goes out in one of the path it only affect the bulbs within that same path
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj3-l2.qa119	OPT2_EXPLAIN_Q	1.0	there are two independent paths.only the components within the same path effect each other
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj3-l2.qa120	OPT2_EXPLAIN_Q	1.0	only the components within the same path effect on another
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj3-l2.qa121	OPT2_EXPLAIN_Q	1.0	"bulb a doesn""t affect bulb b or c"
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj7-l2.qa122	OPT2_EXPLAIN_Q	0.0	bulb a is contained within a complete path with the battery, but bulb b and c are on the same path so if one is burned out the other will burn out too
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj7-l2.qa123	OPT2_EXPLAIN_Q	0.0	"i don""t know"
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj7-l2.qa125	OPT2_EXPLAIN_Q	2.0	bulb a does not affect the path of bulb b and c
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj8-l2.qa132	OPT2_EXPLAIN_Q	2.0	bulb b and bulb c are in the same path so if one burns out the other will nott work. bulb a is contained within a different path and will not burn out if bulb b or c is damaged because it is still contained in a closed path with the battery
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj8-l2.qa133	OPT2_EXPLAIN_Q	0.0	no
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj8-l2.qa134	OPT2_EXPLAIN_Q	0.0	i gave you an answer
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj8-l2.qa135	OPT2_EXPLAIN_Q	0.0	next question please
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj9-l2.qa125	OPT2_EXPLAIN_Q	2.0	bulbs b and c are paired together in one closed path with the battery. bulb a is by itself in a closed path with the battery.
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj9-l2.qa126	OPT2_EXPLAIN_Q	2.0	bulb a is in parallel with bulbs b and c. bulbs b and c are in a series and they depend on each other to close the path.
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj9-l2.qa127	OPT2_EXPLAIN_Q	2.0	bulb a does not affect bulb b and bulb c. bulb b and bulb c are on their own path with the battery.
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj10-l2.qa130	OPT2_EXPLAIN_Q	1.0	bulb a is on a closed path with the battery. if bulb b or c is damaged, it creates and open path for bulbs b and c
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj10-l2.qa131	OPT2_EXPLAIN_Q	1.0	bulb a is on a closed path with the battery
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj11-l2.qa127	OPT2_EXPLAIN_Q	2.0	bulb a is in a path that is not affected by the other two bulbs. bulbs b and c are in a path that is affected if either of the bulbs burns out. bulbs b and c are not affected by bulb a.
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj11-l2.qa128	OPT2_EXPLAIN_Q	1.0	bulb a does not affect bulb b and bulb c. bulbs b and c, do not affect bulb a. bulb b affects bulb c, and bulb c affects bulb b.
SwitchesBulbsParallel-OPT2_EXPLAIN_Q.sbj11-l2.qa129	OPT2_EXPLAIN_Q	2.0	bulb a is contained in a path with the battery and bulbs b and c are contained in a separate path with the battery.
