AnswerId	PromptId	Score1	AnswerText
PS.2b.101.1	PS_2b	2.0	It makes a louder sound.
PS.2b.104.1	PS_2b	0.0	It will snap you.
PS.2b.107.1	PS_2b	2.0	The sound would get louder.
PS.2b.110.1	PS_2b	0.0	It will make a low sound.
PS.2b.111.1	PS_2b	2.0	The rubber band will make a louder sound.
PS.2b.114.1	PS_2b	0.0	If you pluck the rubber band it breaks.
PS.2b.116.1	PS_2b	2.0	It makes a bigger sound.
PS.2b.118.1	PS_2b	0.0	It will fling back on your hand.
PS.2b.138.1	PS_2b	0.0	Louder pitch.
PS.2b.141.1	PS_2b	0.0	It gets a lower pitch.
PS.2b.142.1	PS_2b	2.0	It is louder.
PS.2b.145.1	PS_2b	0.0	High pitch.
PS.2b.146.1	PS_2b	0.0	It makes a higher pitch.
PS.2b.152.1	PS_2b	2.0	It gets louder.
PS.2b.157.1	PS_2b	2.0	Loud.
PS.2b.158.1	PS_2b	0.0	Volume makes its sound, it will be.
PS.2b.160.1	PS_2b	2.0	It is going to make the sound louder.
PS.2b.171.1	PS_2b	0.0	It get quieter.
PS.2b.172.1	PS_2b	2.0	It will be louder.
PS.2b.175.1	PS_2b	2.0	It will be louder.
PS.2b.176.1	PS_2b	2.0	It will be louder.
PS.2b.179.1	PS_2b	2.0	It gets louder.
PS.2b.181.1	PS_2b	2.0	It goes higher.
PS.2b.183.1	PS_2b	0.0	It makes a deeper noise.
PS.2b.185.1	PS_2b	2.0	Gets louder.
PS.2b.189.1	PS_2b	2.0	It will make a louder Noise.
PS.2b.192.1	PS_2b	2.0	It will be loud.
PS.2b.193.1	PS_2b	0.0	Lower.
PS.2b.194.1	PS_2b	2.0	It make loud noise.
PS.2b.195.1	PS_2b	2.0	It will make a higher volume.
PS.2b.212.1	PS_2b	2.0	It gets louder.
PS.2b.217.1	PS_2b	0.0	The pitch gets lower.
PS.2b.221.1	PS_2b	0.0	The pitch changes.
PS.2b.222.1	PS_2b	0.0	It will snap harder.
PS.2b.223.1	PS_2b	2.0	The sound gets louder.
PS.2b.225.1	PS_2b	2.0	It is louder.
PS.2b.230.1	PS_2b	2.0	It makes a louder noise.
PS.2b.255.1	PS_2b	2.0	The volume would get louder.
PS.2b.261.1	PS_2b	0.0	It gets lower.
PS.2b.263.1	PS_2b	2.0	It will make a louder sound.
PS.2b.313.1	PS_2b	2.0	It would just get louder than it was.
PS.2b.319.1	PS_2b	0.0	Sound becomes higher.
PS.2b.320.1	PS_2b	0.0	The sound goes down.
PS.2b.322.1	PS_2b	2.0	Is loud.
PS.2b.323.1	PS_2b	2.0	It get louder.
PS.2b.325.1	PS_2b	2.0	It gets louder.
PS.2b.328.1	PS_2b	0.0	The sound will become lower.
PS.2b.329.1	PS_2b	2.0	The volume gets a little loud.
PS.2b.331.1	PS_2b	0.0	The pitch sounds different.
PS.2b.333.1	PS_2b	2.0	If you pluck it hard it will be higher.
PS.2b.334.1	PS_2b	2.0	It will change the volume to higher.
PS.2b.384.1	PS_2b	2.0	The volume will be higher.
PS.2b.391.1	PS_2b	2.0	The volume would be louder.
PS.2b.400.1	PS_2b	2.0	The volume gets higher.
PS.2b.401.1	PS_2b	2.0	It gets louder.
