AnswerId	PromptId	Score1	AnswerText
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj3-l1.qa218	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	because there is a difference in electrial states between the two terminals
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj7-l1.qa206	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	there is a difference between the electrical states of the two battery  terminals because they are not connected to each other
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj8-l1.qa255	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	2.0	because the cheminal reaction of the volatge is there wther or not there is an incomplete circuit
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj9-l1.qa212	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	the battery will always have a voltage.
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj9-l1.qa213	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	0.0	the battery is a chemical reaction that does not rely on the circuit being complete or not.
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj9-l1.qa214	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	0.0	the terminals in the battery will have an electrical state and chemical reaction that will continuously flow.
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj10-l1.qa243	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	because a battery is in a constant state of electrical charge
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj10-l1.qa244	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	a battery is in a constant state of electricity
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj10-l1.qa245	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	0.0	because a battery always has a charge in its positive terminal
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj11-l1.qa233	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	0.0	because the terminals are not connected
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj11-l1.qa234	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	0.0	the positive terminal and negative terminal are not connected
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj11-l1.qa235	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	0.0	the positive battery terminal is not connected to the negative battery terminal.
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj12-l1.qa208	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	The chemical reation still exists
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj12-l1.qa209	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	2.0	The battery uses the chemical reation to create voltage
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj13-l1.qa249	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	0.0	there is no short circuit to the battery.
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj13-l1.qa250	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	the battery still holds the electrical charge if there is an incomplete circuit.
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj14-l1.qa234	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	because the gap will not effect the voltage.
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj14-l1.qa235	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	Because the chemical reaction is not effected by a gap.
FaultFinding-VOLTAGE_INCOMPLETE_CIRCUIT_2_Q.sbj15-l1.qa258	VOLTAGE_INCOMPLETE_CIRCUIT_2_Q	1.0	the terminals must have a difference in electrical states to have voltage
