AnswerId	PromptId	Score1	AnswerText
FN.24c.101.1	FN_24c	2.0	Diva needed to test pure sugar so that she could make sure Fruity Cream cookies did not have as much carbon dioxide as pure sugar to see if her dad was wrong.
FN.24c.154.1	FN_24c	1.0	Diva needed to test pure sugar because that is how much she is eating with the cookies. So it is not good to have too much or else she will have diabetes.
FN.24c.161.1	FN_24c	0.0	Susan will know which food contains the most sugar when the tube with bag inside can stop all the way to the top.
FN.24c.184.1	FN_24c	0.0	Tube, warm water 50 milliliters, 40 to 50 bag syringe, yeast, tube, testing food, measuring utensils.
FN.24c.209.1	FN_24c	2.0	Diva needed to test pure sugar so he know if the cookies was pure sugar.
FN.24c.210.1	FN_24c	0.0	Because her dad said the cookies were pure sugar.
FN.24c.222.1	FN_24c	1.0	Because Diva's dad said they were pure sugar and so Diva investigated both to see what one had more sugar.
FN.24c.230.1	FN_24c	0.0	So she could prove that cream fruit cookies had less than pure sugar.
FN.24c.247.1	FN_24c	0.0	To see if it as in the cookies was exactly pure sugar.
FN.24c.254.1	FN_24c	0.0	A volume tube, yeast, water, and a warm bath.
FN.24c.256.1	FN_24c	1.0	To compare pure sugar and Fruity Cream cookies.
FN.24c.257.1	FN_24c	2.0	The one with the most carbon dioxide in the volume tube has the most sugar.
FN.24c.276.1	FN_24c	2.0	Diva needed to test pure sugar because if she just tested Fruity Cream cookies, she would have no proof of them having less milliliters than pure sugar.
FN.24c.302.1	FN_24c	1.0	To see if pure sugar was the same as Fruity Cream cookies.
FN.24c.322.1	FN_24c	1.0	Because she wanted to know how much sugar it has.
FN.24c.327.1	FN_24c	2.0	She needed to test the pure sugar because she needed a controlled variable because if she did not, she would not know how much sugar is in sugar and she cannot compare the cookies and the sugar.
FN.24c.330.1	FN_24c	2.0	So she could compare the results and see if they are the same.
FN.24c.360.1	FN_24c	2.0	Diva needed to test pure sugar as a control to compare with the Fruity Cream cookie.
FN.24c.384.1	FN_24c	0.0	To see what Fruity Cream cookies percentage from real sugar.
FN.24c.418.1	FN_24c	0.0	Because her dad does not want to eat that much sugar.
FN.24c.422.1	FN_24c	2.0	She needed to test pure sugar to find out if Fruity Cream Cookies are pure sugar.
FN.24c.424.1	FN_24c	1.0	To see how much sugar it really has.
FN.24c.428.1	FN_24c	0.0	To see which one has the more sugar to compare with the Fruity Cream cookies.
FN.24c.451.1	FN_24c	2.0	She tested pure sugar because she needed something to go against with the cookies.
FN.24c.455.1	FN_24c	0.0	To see what has more sugar than Fruity Cream cookies.
FN.24c.478.1	FN_24c	1.0	She needed to compare if Fruity Cream cookies is pure sugar.
FN.24c.490.1	FN_24c	1.0	She needed to test pure sugar because then there would be nothing to compare with.
FN.24c.511.1	FN_24c	0.0	To show her dad the cookies are not equal to pure sugar.
FN.24c.512.1	FN_24c	1.0	So she could see which one has more sugar than the other. Then she can see which one has less sugar and she can eat that one.
FN.24c.548.1	FN_24c	1.0	Diva needed to test pure sugar because her dad said to not eat that many cookies because they are pure sugar.
FN.24c.568.1	FN_24c	0.0	To see if Fruity Cream cookies was pure sugar.
FN.24c.572.1	FN_24c	0.0	So she can prove to her dad that the cookies are not pure sugar. So she can have Fruity Cream Cookies.
FN.24c.579.1	FN_24c	1.0	Diva needed to test pure sugar because she needed to see if pure sugar itself had more or less than Fruity Cream cookies.
FN.24c.587.1	FN_24c	2.0	Because if she did not know it she would not know how much it was or if they were the same.
FN.24c.597.1	FN_24c	0.0	So she can compare them or else she could not compare the amounts.
FN.24c.607.1	FN_24c	0.0	So she can see the difference of the pure sugar and regular sugar.
FN.24c.293.1	FN_24c	0.0	To see if Fruity Cream cookies are full of sugar like her father said.
FN.24c.339.1	FN_24c	0.0	Yeast, warm water, and some containers.
FN.24c.386.1	FN_24c	1.0	To compare them and see how much less sugar Fruity Cream cookies.
FN.24c.466.1	FN_24c	0.0	Because her dad told her that is pure sugar.
